calfID,cowID,DOB,calf_died,AI,Preg_loss,Twin,No_breed,Group
19992,17003,2019-04-20,1,2,,,,heifers
19180,17004,2019-04-21,,2,,,,heifers
19085,17007,2019-03-27,,2,,,,heifers
19130,17010,2019-04-07,,2,,,,heifers
19002,17012,2019-03-08,,1,,,,heifers
,17014,,,0,,,,heifers
,17016,,,0,,,,heifers
19182,17020,2019-04-23,,2,,,,heifers
19136,17022,2019-04-09,,2,,,,heifers
,17023,,,0,,,,heifers
19228,17033,2019-05-08,,2,,,,heifers
,17038,,,0,,,,heifers
,17039,,,0,,,,heifers
19123,17050,2019-04-04,,2,,,,heifers
19132,17055,2019-04-06,,2,,,,heifers
19149,17057,2019-04-12,,2,,,,heifers
19088,17058,2019-03-28,,2,,,,heifers
,17059,,,0,,,,heifers
19171,17060,2019-04-18,,2,,,,heifers
19108,17062,2019-03-31,,2,,,,heifers
19133,17064,2019-04-07,,2,,,,heifers
,17065,,,0,,,,heifers
19223,17066,2019-05-04,,2,,,,heifers
19181,17071,2019-04-22,,2,,,,heifers
,17072,,,,1,,,heifers
,17073,,,,1,,,heifers
19995,17075,2019-03-24,1,1,,,,heifers
19192,17076,2019-04-24,,2,,,,heifers
19183,17079,2019-04-24,,2,,,,heifers
19179,17090,2019-04-20,,2,,,,heifers
19105,17091,2019-04-01,,2,,,,heifers
,17093,,,0,,,,heifers
19034,17102,2019-03-18,,1,,,,heifers
19011,17103,2019-03-14,,1,,,,heifers
19137,17110,2019-04-10,,2,,,,heifers
,17113,,,0,,,,heifers
,17115,,,,1,,,heifers
19205,17125,2019-04-26,,2,,,,heifers
19106,17129,2019-04-01,,2,,,,heifers
,17133,,,0,,,,heifers
,17136,,,0,,,,heifers
19204,17138,2019-04-25,,2,,,,heifers
19131,17140,2019-04-06,,2,,,,heifers
,17146,,,0,,,,heifers
,17149,,,0,,,,heifers
19150,17151,2019-04-14,1,2,,,,heifers
19230,17153,2019-05-10,1,2,,,,heifers
